Rk,Player,WAR,Season,Player-additional
219,Álex Rodríguez,8.4,2003,rodrial01
220,Joe DiMaggio,8.4,1937,dimagjo01
221,Jimmie Foxx,8.4,1934,foxxji01
222,Darin Erstad,8.4,2000,erstada01
223,Jacoby Ellsbury,8.3,2011,ellsbja01
224,Lou Gehrig,8.3,1935,gehrilo01
225,Nap Lajoie,8.3,1901,lajoina01
226,Álex Rodríguez,8.3,2001,rodrial01
227,David Wright,8.3,2007,wrighda03
228,Wade Boggs,8.3,1987,boggswa01
229,Willie Davis,8.3,1964,daviswi02
230,Bobby Grich,8.3,1973,grichbo01
231,Mel Ott,8.3,1932,ottme01
232,Dave Winfield,8.3,1979,winfida01
233,Mookie Betts,8.3,2023,bettsmo01
234,Paul Goldschmidt,8.3,2015,goldspa01
235,George Brett,8.3,1985,brettge01
236,Hughie Jennings,8.3,1896,jennihu01
237,John Valentin,8.3,1995,valenjo02
238,Ted Williams,8.3,1948,willite01
239,Sal Bando,8.3,1969,bandosa01
240,Wade Boggs,8.3,1988,boggswa01
241,J.D. Drew,8.3,2004,drewj.01
242,Willie Mays,8.3,1957,mayswi01
243,José Bautista,8.3,2011,bautijo02
244,Todd Helton,8.3,2004,heltoto01
245,Pete Rose,8.3,1973,rosepe01
246,Honus Wagner,8.3,1904,wagneho01
247,Joe DiMaggio,8.3,1939,dimagjo01
248,Ronald Acuña Jr.,8.2,2023,acunaro01
249,Al Kaline,8.2,1955,kalinal01
250,Eddie Stanky,8.2,1950,stanked01
251,Chase Utley,8.2,2009,utleych01
252,Dan Brouthers,8.2,1886,broutda01
253,Roberto Clemente,8.2,1968,clemero01
254,Roberto Clemente,8.2,1966,clemero01
255,Alan Trammell,8.2,1987,trammal01
256,Carlos Beltrán,8.2,2006,beltrca01
257,Cal Ripken Jr.,8.2,1983,ripkeca01
258,Jeff Bagwell,8.2,1994,bagweje01
259,Lou Gehrig,8.2,1937,gehrilo01
260,Lou Gehrig,8.2,1932,gehrilo01
261,Billy Hamilton,8.2,1894,hamilbi01
262,Barry Bonds,8.2,1997,bondsba01
263,Willie McGee,8.2,1985,mcgeewi01
264,Minnie Miñoso,8.2,1954,minosmi01
265,Roger Connor,8.2,1885,connoro01
266,Andruw Jones,8.2,2000,jonesan01
267,Evan Longoria,8.2,2010,longoev01
268,Bobby Murcer,8.2,1972,murcebo01
269,Eddie Mathews,8.2,1959,matheed01
270,Ernie Banks,8.1,1955,bankser01
271,Duke Snider,8.1,1954,snidedu01
272,Robinson Canó,8.1,2010,canoro01
273,Lou Boudreau,8.1,1943,boudrlo01
274,Barry Bonds,8.1,1998,bondsba01
275,Ralph Kiner,8.1,1947,kinerra01
276,Joey Votto,8.1,2017,vottojo01
277,Brooks Robinson,8.1,1964,robinbr01
278,Wade Boggs,8.1,1986,boggswa01
279,Johnny Callison,8.1,1963,callijo01
280,Bernard Gilkey,8.1,1996,gilkebe01
281,Ralph Kiner,8.1,1949,kinerra01
282,Willie McCovey,8.1,1969,mccovwi01
283,Babe Ruth,8.1,1929,ruthba01
284,Eddie Mathews,8.0,1953,matheed01
285,Honus Wagner,8.0,1912,wagneho01
286,Henry Aaron,8.0,1969,aaronha01
287,César Cedeño,8.0,1972,cedence01
288,Mike Schmidt,8.0,1976,schmimi01
