Rk,Player,WAR,Player-additional
352,Ryan Zimmerman,40.1,zimmery01
353,Clyde Milan,40.0,milancl01
354,George Gore,39.9,gorege01
355,George Van Haltren,39.9,vanhage01
356,Moisés Alou,39.9,aloumo01
357,George Burns,39.8,burnsge01
358,Reggie Sanders,39.8,sandere02
359,Anthony Rizzo,39.8,rizzoan01
360,Alex Bregman,39.6,bregmal01
361,Tommy Henrich,39.6,henrito01
362,Maury Wills,39.6,willsma01
363,Babe Herman,39.5,hermaba01
364,Rafael Furcal,39.5,furcara02
365,Lance Parrish,39.5,parrila02
366,Jesse Barfield,39.4,barfije01
367,Jake Daubert,39.4,daubeja01
368,Donie Bush,39.4,bushdo01
369,Carl Crawford,39.1,crawfca02
370,Rico Petrocelli,39.1,petrori01
371,Boog Powell,39.1,powelbo01
372,Paul O'Neill,38.9,o'neipa01
373,Magglio Ordóñez,38.8,ordonma01
374,Harold Baines,38.8,baineha01
375,Russell Martin,38.8,martiru01
376,Charlie Bennett,38.8,bennech01
377,Ed McKean,38.7,mckeaed01
378,Pie Traynor,38.7,traynpi01
379,Juan González,38.7,gonzaju03
380,Hack Wilson,38.7,wilsoha01
381,Kent Hrbek,38.6,hrbekke01
382,Bill White,38.6,whitebi03
383,Starling Marte,38.6,martest01
384,Lonnie Smith,38.5,smithlo01
385,Lorenzo Cain,38.5,cainlo01
386,Tim Wallach,38.5,wallati01
387,Kirk Gibson,38.4,gibsoki01
388,Matt Chapman,38.4,chapmma01
389,Johnny Callison,38.4,callijo01
390,Harry Davis,38.3,davisha01
391,Justin Turner,38.3,turneju01
392,Eric Chávez,38.3,chaveer01
393,Josh Gibson,38.3,gibsojo99
394,Bill Madlock,38.3,madlobi01
395,Roger Maris,38.3,marisro01
396,Max Bishop,38.2,bishoma01
397,Chili Davis,38.2,davisch01
398,Sid Gordon,38.2,gordosi01
399,Ray Lankford,38.2,lankfra01
400,Troy Glaus,38.1,glaustr01
401,Carlos Santana,38.0,santaca01
402,Steve Garvey,38.0,garvest01
403,Hanley Ramírez,38.0,ramirha01
404,Jeff Heath,37.7,heathje01
405,Paul Blair,37.7,blairpa01
406,Terry Turner,37.7,turnete01
407,Ernie Lombardi,37.7,lombaer01
408,Dick McAuliffe,37.6,mcauldi01
409,Frank Howard,37.6,howarfr01
410,George Kell,37.6,kellge01
411,Lu Blue,37.6,bluelu01
412,José Reyes,37.5,reyesjo01
413,Cy Williams,37.4,willicy01
414,George Springer,37.3,springe01
415,Andrelton Simmons,37.2,simmoan01
416,Jay Bell,37.1,bellja01
417,Fred Dunlap,37.1,dunlafr01
418,Dusty Baker,37.0,bakerdu01
419,Kip Selbach,37.0,selbaki01
420,Herman Long,36.9,longhe01
421,Kyle Seager,36.9,seageky01
