league_stats_id,yearid,TG,G,PA,HR,R,RBI,SB,BB_percent,K_percent,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC_plus,BsR,Off,Def,WAR
129,1886,2098,19018,78790,413,11512,8239,3243,7.00%,11.70%,0.085,0.281,0.246,0.303,0.332,0.303,,97,0,-370.4,56.8,246.6
130,1918,2032,21134,75971,235,7382,6199,1989,7.60%,7.80%,0.071,0.276,0.254,0.317,0.325,0.317,,94,0,-432.2,160.4,238
131,1898,1840,17284,69964,299,9129,7630,2069,7.30%,,0.076,,0.271,0.334,0.347,0.334,,95,0,-447.9,123,215.9
132,1899,1838,17391,69871,350,9647,7980,2666,7.10%,,0.084,,0.282,0.343,0.366,0.343,,95,0,-521.4,176.2,215.8
133,1892,1836,16963,70615,417,9388,7360,3201,8.70%,8.40%,0.083,0.265,0.245,0.317,0.327,0.317,,95,0,-470.4,94.4,215.5
134,2020,1796,26721,66506,2304,8344,7978,885,9.20%,23.40%,0.173,0.292,0.245,0.322,0.418,0.32,,100,-6.9,-7.2,-214.6,210.6
135,1885,1780,16120,66585,323,9292,6488,,5.30%,10.10%,0.081,0.266,0.244,0.288,0.325,0.288,,98,0,-220.5,9.2,208.9
136,1897,1610,15226,63130,367,9520,7998,2696,7.50%,,0.095,,0.292,0.354,0.386,0.354,,96,0,-405,126.3,189
137,1895,1588,14983,63338,484,10482,8779,2888,8.10%,5.70%,0.103,0.31,0.296,0.361,0.4,0.361,,96,0,-381.5,76.4,186.6
138,1894,1584,14887,63552,627,11678,9887,3113,9.10%,5.20%,0.126,0.32,0.309,0.379,0.435,0.379,,96,0,-523.1,155.6,186.1
139,1896,1584,14964,62224,404,9555,8041,3057,7.80%,5.70%,0.097,0.305,0.29,0.354,0.387,0.354,,96,0,-423.7,107.5,186.1
140,1883,1570,14224,59998,238,9030,4522,,3.90%,9.50%,0.088,0.288,0.257,0.286,0.345,0.286,,98,0,-195.8,-11.8,184.5
141,1893,1570,14660,63680,460,10315,8556,2752,9.60%,5.20%,0.1,0.291,0.28,0.356,0.379,0.356,,96,0,-412.5,78.4,184.4
142,1882,1142,10303,43230,178,6095,3326,,3.70%,8.40%,0.082,0.271,0.248,0.276,0.33,0.276,,98,0,-106.4,-4.9,134.2
143,1900,1136,10872,43485,254,5932,4924,1686,7.00%,,0.087,,0.279,0.339,0.366,0.339,,95,0,-323.6,116.7,133.3
144,1875,690,6249,27082,40,4234,2710,629,0.90%,2.50%,0.056,0.259,0.254,0.261,0.31,0.261,,99,0,-42.8,5.9,81.3
145,1880,680,6157,25041,62,3191,2222,,3.00%,8.00%,0.075,0.264,0.245,0.267,0.32,0.267,,98,0,-74.2,-8.5,79.8
146,1881,672,6084,25410,76,3426,2488,,4.10%,7.00%,0.078,0.278,0.26,0.29,0.338,0.29,,96,0,-139.4,-7.2,78.9
147,1879,642,5795,24663,58,3409,2357,,2.10%,7.50%,0.073,0.275,0.255,0.271,0.329,0.271,,99,0,-31.9,12.3,75.4
148,1876,520,4696,20457,40,3066,1984,,1.60%,2.90%,0.055,0.272,0.265,0.277,0.321,0.277,,98,0,-63.6,6.6,61.3
149,1874,464,4199,19340,40,3470,2249,226,1.20%,1.80%,0.06,0.277,0.274,0.282,0.333,0.282,,97,0,-115.9,12,54.7
150,1873,398,3603,17296,46,3580,2339,175,1.90%,1.40%,0.065,0.292,0.29,0.303,0.355,0.303,,97,0,-116.1,22.9,47.1
151,1872,366,3307,15926,35,3390,2103,254,1.60%,1.60%,0.061,0.289,0.286,0.297,0.347,0.297,,97,0,-119.3,-22.5,43.3
152,1878,368,3319,14008,23,1904,1331,,2.60%,7.70%,0.06,0.28,0.259,0.279,0.319,0.279,,99,0,-25.6,7.2,43.2
153,1877,360,3247,14012,24,2040,1410,,2.50%,5.20%,0.067,0.285,0.271,0.289,0.338,0.289,,99,0,-30.2,0.5,42.3
154,1871,254,2296,11215,47,2659,1783,441,3.50%,1.60%,0.097,0.288,0.287,0.312,0.384,0.312,,98,0,-41.4,0.6,30.1
